Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2192261,17-Dec-21,Texas,Lubbock,700 block of E Ursuline St,1,0,N/A
2190902,16-Dec-21,Ohio,Dayton,217 Out Belle Dr,2,0,N/A
2187270,11-Dec-21,Kentucky,Louisville,4400 block of Newport Rd,1,0,N/A
2190929,11-Dec-21,Georgia,Monticello,N/A,1,0,N/A
2186925,10-Dec-21,Louisiana,Baton Rouge,River Rd and Brightside Dr,2,0,N/A
2185903,09-Dec-21,Georgia,Riverdale,6000 block of Westbury Rd,1,0,N/A
2186328,08-Dec-21,New Mexico,Rio Rancho,5748 Sandoval Dr NE,1,0,N/A
2184591,07-Dec-21,Ohio,Columbus,6652 Kodiak Dr,3,0,N/A
2184845,06-Dec-21,Wisconsin,Milwaukee,3150 S 49th St,4,0,N/A
2182488,04-Dec-21,Washington,Granite Falls,8600 block of WA-92,1,0,N/A
2183429,03-Dec-21,South Carolina,Port Royal,1650 Ribaut Rd,1,0,N/A
2181096,02-Dec-21,North Carolina,Elizabeth City,Perry St and Jordan St,3,3,N/A
2180973,02-Dec-21,Kentucky,Louisville,8200 block of Sandidge Dr,1,0,N/A
2180041,01-Dec-21,Kansas,Kansas City,N 55th St and Georgia Ave,2,2,N/A
2178901,30-Nov-21,Virginia,Covington,1600 block of E Dolly Ann Dr,1,0,N/A
2177651,28-Nov-21,Texas,Fort Worth,100 block of N Lamar St,1,0,N/A
2177416,28-Nov-21,California,Lancaster,3500 block of Garnet Lane,5,0,N/A
2176729,27-Nov-21,Texas,Hallsville,2100 block of Young Rd,1,0,N/A
2176259,25-Nov-21,South Carolina,Blackstock,7134 Old Douglass Rd,1,0,N/A
2175762,25-Nov-21,Minnesota,Minneapolis (Brooklyn Park),8000 block of Florida Ave,1,0,N/A
2176170,25-Nov-21,Georgia,Atlanta,4555 Washington Rd,1,0,N/A
2175125,25-Nov-21,Pennsylvania,Bally,8500 block of Chestnut St,1,0,N/A
2174401,24-Nov-21,District of Columbia,Washington,2300 block of Chester St,1,0,N/A
2173864,23-Nov-21,California,Pasadena,600 block of Sunnyslope Ave,2,0,N/A
2173281,22-Nov-21,Pennsylvania,Pittsburgh,100 block of Prescott Dr,1,0,N/A
2173053,22-Nov-21,Pennsylvania,Pittsburgh,500 block of N Negley Ave,1,0,N/A
2172398,21-Nov-21,Kentucky,Shelbyville,72 Zelkova Dr,1,0,N/A
2170247,18-Nov-21,Maryland,Smithsburg,MD-418 and Midvale St,4,0,N/A
2169620,16-Nov-21,California,Sacramento,Seavey Cir,2,0,N/A
2166371,13-Nov-21,Georgia,Atlanta,2060 Alison Court SW,1,0,N/A
2165859,13-Nov-21,Alabama,Mobile,1200 block of Alba St,1,0,N/A
2167270,13-Nov-21,Georgia,Nashville,300 block of JD Nichols Rd,1,1,N/A
2165600,12-Nov-21,Virginia,Richmond,3050 Nine Mile Rd,2,2,N/A
